"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-06-30,3291,"Colonial Heights City","VA","Richmond",1522,163200,0,0.00245700245700246,0.015556938394524,,,"2007-08","2007-Q3",182900,-0.107709130672499,"2006-02"
2018-06-30,310,"Rush","IN",,1523,97200,0.00309597523219814,0.00829875518672199,0.0530877573131094,,,"2018-06","2018-Q2",97200,0,"2018-06"
2018-06-30,2655,"Chickasaw","MS",,1524,75000,0.0259917920656635,0.0729613733905579,0.0217983651226158,,,"2017-11","2017-Q4",75200,-0.00265957446808511,"2017-11"
2018-06-30,668,"Parke","IN",,1525,72700,0.00553250345781466,0.0582241630276565,0.1632,,,"2018-06","2018-Q2",72700,0,"2018-06"
2018-06-30,2858,"Van Buren","AR",,1526,88600,0.00453514739229025,0.0423529411764706,0.192462987886945,,,"2018-06","2018-Q2",88600,0,"2018-06"
2018-06-30,832,"Andrew","MO","St. Joseph",1527,144900,0.00905292479108635,0.0439481268011527,0.136470588235294,,,"2018-06","2018-Q2",144900,0,"2018-06"
2018-06-30,162,"Frio","TX",,1528,88900,0.0102272727272727,0.0218390804597701,0.0265588914549654,,,"2017-10","2017-Q4",90600,-0.0187637969094923,"2017-09"
2018-06-30,2662,"Claiborne","LA",,1529,55000,0.00364963503649635,0.0166358595194085,0.0516252390057361,,,"2005-06","2005-Q2",60800,-0.0953947368421053,"2005-03"
2018-06-30,2158,"Burleson","TX","College Station",1530,123100,0.000813008130081301,0.0032599837000815,0.0275459098497496,,,"2018-01","2018-Q1",124600,-0.0120385232744783,"2017-12"
2018-06-30,2362,"Kalkaska","MI","Traverse City",1531,91300,0.0032967032967033,0.0155728587319244,0.0616279069767442,,,"2005-12","2005-Q4",120400,-0.241694352159468,"2004-02"
2018-06-30,1324,"Pitkin","CO","Glenwood Springs",1532,1044900,0.00451836185348971,0.00976034016235021,0.100821744627054,,,"2007-07","2007-Q3",1129100,-0.074572668497033,"2006-12"
2018-06-30,1613,"Chester","TN","Jackson",1533,97000,0.00103199174406605,0.00518134715025907,0.0765815760266371,,,"2018-06","2018-Q2",97000,0,"2018-06"
2018-06-30,1119,"Jasper","MS","Laurel",1534,86600,-0.0388457269700333,-0.0855332629355861,-0.122593718338399,,,"2010-10","2010-Q4",101200,-0.144268774703557,
